clave,nombre,programa_clave,trimestre,tipo,creditos,area_nombre,area_descripcion,url
1407110,PROYECTO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO III,PDB,,OBL,,,,
1407111,TEMAS SELECTOS V. ACÚSTICA,PDB,,OBL,,,,
1407112,TEMAS SELECTOS VI. DISEÑO BIOCLIMÁTICO EN EXTERIORES,PDB,,OBL,,,,
1407113,SEMINARIO DE DISEÑO BIOCLIMÁTICO III,PDB,,OBL,,,,
1407114,PROYECTO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO IV,PDB,,OBL,,,,
1407115,SEMINARIO DE DOCENCIA,PDB,,OBL,,,,
1407116,PROYECTO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO V,PDB,,OBL,,,,
1407117,PROYECTO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO VI,PDB,,OBL,,,,
1408000,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO I,PDB,,OBL,,,,
1408001,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO II,PDB,,OBL,,,,
1408002,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO III,PDB,,OBL,,,,
1408003,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO IV,PDB,,OBL,,,,
1408004,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO V,PDB,,OBL,,,,
1408005,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO VI,PDB,,OBL,,,,
1408006,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO VII,PDB,,OBL,,,,
1408007,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO VIII,PDB,,OBL,,,,
1408008,SEMINARIO DOCTORAL INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO IX,PDB,,OBL,,,,
1408090,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO I,PDB,,OBL,,,,
1408091,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO II,PDB,,OBL,,,,
1408092,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO III,PDB,,OBL,,,,
1408093,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO IV,PDB,,OBL,,,,
1408094,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO V,PDB,,OBL,,,,
1408095,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO VI,PDB,,OBL,,,,
1408096,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO VII,PDB,,OBL,,,,
1408097,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO VIII,PDB,,OBL,,,,
1408098,TALLER COLABORATIVO DE INVESTIGACIÓN EN DISEÑO BIOCLIMÁTICO IX,PDB,,OBL,,,,
1407139,Temas Selectos I: Planeación de ciudades contemporáneas,PDEU,,OBL,,,,
1407140,Temas Selectos II. Cultura Urbana,PDEU,,OBL,,,,
1407136,PROYECTO DE INVESTIGACION EN DISEÑO Y ESTUDIOS URBANOS,PDEU,,OBL,,,,
1407150,PROYECTO DE INVESTIGACION EN DISEÑO Y ESTUDIOS URBANOS IV (1407150),PDEU,,OBL,,,,
1408021,SEMINARIO DOCTORAL DE INVESTIGACIÓN EN DISEÑO Y ESTUDIOS URBANOS IV,PDEU,,OBL,,,,
1408024,SEMINARIO DOCTORAL INVESTIGACION EN DISEÑO Y ESTUDIOS URBANOS VII,PDEU,,OBL,,,,
1408025,SEMINARIO DOCTORAL INVESTIGACION EN DISEÑO Y ESTUDIOS URBANOS VIII,PDEU,,OBL,,,,
1408018,SEMINARIO DOCTORAL INVESTIGACION EN DISEÑO Y ESTUDIOS URBANOS I,PDEU,,OBL,,,,
1408099, Taller Colaborativo I,PDEU,,OBL,,,,
